n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
175,26/11/15,4815/15,Roubo,Agência,Correios,,"Rua Barão do Rio Branco, 1355, Centro, Lapa",628526,7149445,,,cadastro pendente,1723/16,2454/16,Marlon,Darwin,808/15,584/15
176,26/11/15,-,Outros,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,cadastro pendente,,sem laudo,Marlon,Darwin,-,585/15
177,27/11/15,4816/15,Furto,Viatura,Correios,,"Rua Professor Sebastião  Paraná, 232, Vila Isabel, Curitiba",671727,7182978,,,envio pendente,2431/16,826/16,Dante,Accioly,810/15,586/15
178,30/11/15,4850/15,Furto,Outro,UFPR,,"Rua Ivone Pimentel, 1000, Pinhais",689496,7190111,,,envio pendente,2555/16,2481/16,Akira,Benazzi,816/15,592/15
179,01/12/15,"4862/15, 5107/15",Roubo,Agência,Correios,,"Rua Itacolumi, 157, Matinhos",747483,7141962,,,nenhum,,004/16,Klock,Débora,818/15,598/15
180,01/12/15,4863/15,Furto,Outro,UFPR,,"Rua Coronel Francisco Heráclito dos Santos, 230, Curitiba",677982,7184029,,,nenhum,,009/16,Klock,Débora,819/15,597/15
181,06/12/15,"4970/15, 4971/15",Explosão,Agência,CEF,,"Avenida Crispim Furquim Siqueira, 851, Centro, Itaperuçu",666628,7209442,,,envio pendente,1835/16,095/16,Bogo,Fabiano,830/15,616/15
182,09/12/15,5000/15,Arrombamento e furto,Outro,UFPR,,"Rua Coronel Francisco Heráclito dos Santos, 230, Curitiba",677982,7184029,,,envio pendente,2010/16,186/17,Marlon,Schamne,834/15,617/15
183,09/12/15,4999/15,Roubo,Agência,CEF,,"Avenida Brasil, 727, Centro, Mandirituba",667866,7147877,,,cadastro pendente,2837/16,132/17,Marlon,Schamne,836/15,618/15
184,12/12/15,5032/15,Preliminar - Outros,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,2578/15,Franus,-,846/15,623/15
